Speaker,Emotion,File Name,Transcription
KhaledKamal,Surprised,KhaledKamal_Surprised_9.wav,دفعت مين اللي دفع
KhaledKamal,Surprised,KhaledKamal_Surprised_4.wav,عملت إيه
KhaledKamal,Surprised,KhaledKamal_Surprised_3.wav,أتئبض عليهم
KhaledKamal,Surprised,KhaledKamal_Surprised_10.wav,تحويلات تحويلا إيه
KhaledKamal,Surprised,KhaledKamal_Surprised_8.wav,أنا أحاول أئتل مروان
KhaledKamal,Surprised,KhaledKamal_Surprised_11.wav,إنتي إزاي مش حاسة بيا
KhaledKamal,Surprised,KhaledKamal_Surprised_5.wav,إنتي بترائبيني يا مديحة
KhaledKamal,Surprised,KhaledKamal_Surprised_6.wav,بلغتي عني يا مديحة هانم
KhaledKamal,Surprised,KhaledKamal_Surprised_1.wav,إيه اللي إنت بتؤوله دا يا مروان
KhaledKamal,Surprised,KhaledKamal_Surprised_7.wav,يعني مش إيه مش هخرج
KhaledKamal,Surprised,KhaledKamal_Surprised_2.wav,إنتي و بتعملي إيه نا
KhaledKamal,Angry,KhaledKamal_Angry_2.wav,إيه أسال نفسك دي يا مديحة هانم إنتي شيفاني ءتال ؤتلة ؤدامك
KhaledKamal,Angry,KhaledKamal_Angry_7.wav,أنا مبكدبش يا مروان أنا صاحبك لازم تصدئني
KhaledKamal,Angry,KhaledKamal_Angry_5.wav,يعني إيه مكنتش فاضي كان وراك إيه يعني
KhaledKamal,Angry,KhaledKamal_Angry_8.wav,كفاية
KhaledKamal,Angry,KhaledKamal_Angry_1.wav,لاء ومحدش يرد عليه
KhaledKamal,Angry,KhaledKamal_Angry_6.wav,مدحت متعصبيش أكتر من كدا
KhaledKamal,Angry,KhaledKamal_Angry_4.wav,مش وئتة دراما خالص
KhaledKamal,Angry,KhaledKamal_Angry_3.wav,ما تتكلمي عدل يا نوال
KhaledKamal,Angry,KhaledKamal_Angry_9.wav,و لولا إن أنا خايف على الراجل دا كت زمان روحت بلغت عنك مجتش على هنا
KhaledKamal,Neutral,KhaledKamal_Neutral_1.wav,أنا رأيي عشان نتحرك صح لازم في أسرع وئت نبتدي نسحب فلوس مروان واحدة واحدة و من غبر ما يحس
KhaledKamal,Neutral,KhaledKamal_Neutral_3.wav,طيب أنا كدا كدا كت ماشي
KhaledKamal,Neutral,KhaledKamal_Neutral_14.wav,المحامي ئال الئضية لازم نركز فيها أكتر من كدا
KhaledKamal,Neutral,KhaledKamal_Neutral_5.wav,على الأئل نعرف مين اللي بيئابلهم مروان
KhaledKamal,Neutral,KhaledKamal_Neutral_2.wav,أنا همشي دلوئتي عندي حاجات كتير لازم أعملها
KhaledKamal,Neutral,KhaledKamal_Neutral_8.wav,بس كون إن هي أتئبلت معنى كدا إن موئفها كويس
KhaledKamal,Neutral,KhaledKamal_Neutral_4.wav,هو خف شوية بعد الحادثة إنما بدايتن من إمبارح إبتدا الموضوع يزيد
KhaledKamal,Neutral,KhaledKamal_Neutral_7.wav,طب و موضوع الكشف الطبي دا هنعمل فيه إيه
KhaledKamal,Neutral,KhaledKamal_Neutral_12.wav,الشيكات اللي عليا مش هترجعلك
KhaledKamal,Neutral,KhaledKamal_Neutral_10.wav,مديحة ميهمهاش حد غير مصلحتها
KhaledKamal,Neutral,KhaledKamal_Neutral_13.wav,و بكرة الصبح هتعملي تنازل عن المحضر
KhaledKamal,Neutral,KhaledKamal_Neutral_6.wav,دينا ومرونان لازم يتطلؤ في أسرع وئت ممكن إنتي اللي لازم تكوني السبب
KhaledKamal,Neutral,KhaledKamal_Neutral_9.wav,بدأت أتحرك متئلئش
KhaledKamal,Neutral,KhaledKamal_Neutral_11.wav,تعرف بتروح فين و بتئابل مين وبتعمل إيه
KhaledKamal,Happy,KhaledKamal_Happy_1.wav,أظهر على حئيئك هو دا مروان
KhaledKamal,Fearful,KhaledKamal_Fearful_4.wav,كلميها تاني طب شوفيها
KhaledKamal,Fearful,KhaledKamal_Fearful_1.wav,مروان فيه سوء تفاهم
KhaledKamal,Fearful,KhaledKamal_Fearful_5.wav,خلي بالك يا دينا أرجوكي 
KhaledKamal,Fearful,KhaledKamal_Fearful_2.wav,ما كدا كل حاجة هضيع مننا
KhaledKamal,Fearful,KhaledKamal_Fearful_3.wav,آآآ أه هم سألونا إذا كان ليك أعداء ولا لاء إحنا ؤلنا لاءة
MahmoudHafez,Surprised,MahmoudHafez_Surprised_2.wav,لا شيخة
MahmoudHafez,Surprised,MahmoudHafez_Surprised_1.wav,مشت من غير ما تؤلي
MahmoudHafez,Angry,MahmoudHafez_Angry_4.wav,ما يتإذي ولا يتحرئ بجاز هو دا وئت حنية
MahmoudHafez,Angry,MahmoudHafez_Angry_2.wav,أومال يعني هنجيب معانا محرم
MahmoudHafez,Angry,MahmoudHafez_Angry_3.wav,كنا نسحب رؤوف دا من ئفة أمه و نطلع بيه على الئسم و نخلص
MahmoudHafez,Angry,MahmoudHafez_Angry_1.wav,صبرني يا رب
MahmoudHafez,Neutral,MahmoudHafez_Neutral_1.wav,و شخصيته إتغيرت بئا على كدا
MahmoudHafez,Neutral,MahmoudHafez_Neutral_2.wav,بتتهرجي ولا بتتكلمي بجد
MahmoudHafez,Happy,MahmoudHafez_Happy_1.wav,دكتور صباح الفل
MahmoudHafez,Happy,MahmoudHafez_Happy_2.wav,حلو أوي أوي بجد يا رنا
MahmoudHafez,Fearful,MahmoudHafez_Fearful_1.wav,طمني يعم الأستاذ خير فيه إيه
MahmoudHafez,Fearful,MahmoudHafez_Fearful_2.wav,يا نهار إسود يا نهار إسود
AmrYoussef,Surprised,AmrYoussef_Surprised_19.wav,مجدي
AmrYoussef,Surprised,AmrYoussef_Surprised_12.wav,هي اللي سرئت البيت واحدة بنت
AmrYoussef,Surprised,AmrYoussef_Surprised_6.wav,طب ما إنتي إتحركتي و زي الئردة أهو مفكيش حاجة
AmrYoussef,Surprised,AmrYoussef_Surprised_32.wav,سم إيه يا رنا سم إيه إنتي عايزاني أموت أهلي
AmrYoussef,Surprised,AmrYoussef_Surprised_31.wav,أسامحها بعد ما ئتلت أبويا
AmrYoussef,Surprised,AmrYoussef_Surprised_18.wav,إجتماع دا إيه دا كمان أنا مش هحضر إجتماعات
AmrYoussef,Surprised,AmrYoussef_Surprised_11.wav,بتتفبئي عليا معاهم
AmrYoussef,Surprised,AmrYoussef_Surprised_30.wav,هو اللي ئتل صلاح
AmrYoussef,Surprised,AmrYoussef_Surprised_25.wav,ألم نفسي
AmrYoussef,Surprised,AmrYoussef_Surprised_23.wav,هي نادية اللي ئلتلك على الحادثة مش محمود
AmrYoussef,Surprised,AmrYoussef_Surprised_8.wav,أعزمك على العشى
AmrYoussef,Surprised,AmrYoussef_Surprised_22.wav,أنا
AmrYoussef,Surprised,AmrYoussef_Surprised_14.wav,ليه هو إحنا ورانا حاجة تاني غير البنك
AmrYoussef,Surprised,AmrYoussef_Surprised_2.wav,إيه دا إيه دا
AmrYoussef,Surprised,AmrYoussef_Surprised_13.wav,مذكراتي
AmrYoussef,Surprised,AmrYoussef_Surprised_27.wav,دلوئتي
AmrYoussef,Surprised,AmrYoussef_Surprised_17.wav,هو إنتي فاكرة إن لسة فيه بكرة
AmrYoussef,Surprised,AmrYoussef_Surprised_33.wav,إذا حبتيني
AmrYoussef,Surprised,AmrYoussef_Surprised_10.wav,إنتي بتعايريني دلوئتي
AmrYoussef,Surprised,AmrYoussef_Surprised_9.wav,شلل
AmrYoussef,Surprised,AmrYoussef_Surprised_35.wav,يعني عبد الهادي كان مسجون
AmrYoussef,Surprised,AmrYoussef_Surprised_3.wav,أمي أنا مكسوفة مني
AmrYoussef,Surprised,AmrYoussef_Surprised_24.wav,هو أنا عملتلها إيه
AmrYoussef,Surprised,AmrYoussef_Surprised_20.wav,مجدي أخوك
AmrYoussef,Surprised,AmrYoussef_Surprised_16.wav,هو أنا مكتش أعرف حد غيركو ولا إيه
AmrYoussef,Surprised,AmrYoussef_Surprised_36.wav,أصدئك
AmrYoussef,Surprised,AmrYoussef_Surprised_1.wav,في إيه
AmrYoussef,Surprised,AmrYoussef_Surprised_28.wav,ثانية واحدة هو إنتي بتتكلمي عن دينا مين بالظبط
AmrYoussef,Surprised,AmrYoussef_Surprised_21.wav,بصراحة ليه بصراحة
AmrYoussef,Surprised,AmrYoussef_Surprised_26.wav,إيه دا
AmrYoussef,Surprised,AmrYoussef_Surprised_34.wav,دكتور
AmrYoussef,Surprised,AmrYoussef_Surprised_5.wav,إخوة
AmrYoussef,Surprised,AmrYoussef_Surprised_15.wav,العئد مش مزور
AmrYoussef,Surprised,AmrYoussef_Surprised_7.wav,نعم
AmrYoussef,Surprised,AmrYoussef_Surprised_4.wav,يعني إيه أتخطفت
AmrYoussef,Surprised,AmrYoussef_Surprised_29.wav,مات
AmrYoussef,Sad,AmrYoussef_Sad_17.wav,كت حاسس بالحكاية طول الوئت
AmrYoussef,Sad,AmrYoussef_Sad_5.wav,وجدي أنا كت بتكلم معاك براحتي و بفضفضلك
AmrYoussef,Sad,AmrYoussef_Sad_8.wav,الله يرحمه و يحسن إليه
AmrYoussef,Sad,AmrYoussef_Sad_12.wav,على ئد ما ربنا يئدرني
AmrYoussef,Sad,AmrYoussef_Sad_1.wav,أنا آسف عمومن
AmrYoussef,Sad,AmrYoussef_Sad_16.wav,مجدي أنا آسف
AmrYoussef,Sad,AmrYoussef_Sad_18.wav,دلوئتي بس عرفت كانو بيتفئوا على إيه
AmrYoussef,Sad,AmrYoussef_Sad_11.wav,والله مليون حاجة يا أستاذ رفعت
AmrYoussef,Sad,AmrYoussef_Sad_4.wav,حتى لو كتي خايفة كان لازم تؤليلي
AmrYoussef,Sad,AmrYoussef_Sad_3.wav,أبويا هو اللي مبعدش عني و أنا محتاجه
AmrYoussef,Sad,AmrYoussef_Sad_15.wav,أنا لازم أفهم إن أنا بئت لوحدي
AmrYoussef,Sad,AmrYoussef_Sad_14.wav,أكتشفت إن ئصاد كل حاحة صح كت بعملها كت بعمل حجاة غلط
AmrYoussef,Sad,AmrYoussef_Sad_7.wav,و كإن فيه حمل على كتافي
AmrYoussef,Sad,AmrYoussef_Sad_6.wav,و أنا حاسس إن أنا مخنوء و متضايئ
AmrYoussef,Sad,AmrYoussef_Sad_9.wav,ما إنتي شايفة اللي أنا فيه يا ماما
AmrYoussef,Sad,AmrYoussef_Sad_13.wav,مفيش حد دلوئتي من اللي حواليا حاسسن بأي حاجة
AmrYoussef,Sad,AmrYoussef_Sad_10.wav,خلاص حقك عليا أنا آسف 
AmrYoussef,Sad,AmrYoussef_Sad_2.wav,أبويا مش ولئف ؤدامي دلوئتي
AmrYoussef,Angry,AmrYoussef_Angry_27.wav,لا إنتي اللي تنسي مش كل مرة تعملي حركات الفرؤع لوز دي
AmrYoussef,Angry,AmrYoussef_Angry_4.wav,يأخي دأنا بشوفك هنا أكتر ما بشوفني
AmrYoussef,Angry,AmrYoussef_Angry_26.wav,مش معئولة كل حاجة في حياتي عايزين تتدخلو فيها
AmrYoussef,Angry,AmrYoussef_Angry_14.wav,أنا خلاص سمعت و شوفت كل حاجة
AmrYoussef,Angry,AmrYoussef_Angry_30.wav,هما مين اللي يمشو
AmrYoussef,Angry,AmrYoussef_Angry_19.wav,يا أستاذ حضرتك كل شوية بتخبطني و أنا بخبط في الراجل اللي ؤدامي
AmrYoussef,Angry,AmrYoussef_Angry_12.wav,عايز أعرف
AmrYoussef,Angry,AmrYoussef_Angry_28.wav,و هتجاوبني على اللي أنا عايز أعرفه زوء عافيه هتجاوبني فاهم و لا مش فاهم
AmrYoussef,Angry,AmrYoussef_Angry_24.wav,واضح إنك كت تستاهل
AmrYoussef,Angry,AmrYoussef_Angry_1.wav,مبحبش حد يلمسني
AmrYoussef,Angry,AmrYoussef_Angry_20.wav,حتى لو كت بعمل كدا ءيل كدا أنا مش هعمل كدا تاني شغل التدبير المنزلي دا شوفيلك حد يحله
AmrYoussef,Angry,AmrYoussef_Angry_16.wav,لما تكون دي مذكراتي و أنا اللي كاتبها تبئى خاصة بيا أنا
AmrYoussef,Angry,AmrYoussef_Angry_22.wav,عشان إنتي مبتحيش غير نفسك
AmrYoussef,Angry,AmrYoussef_Angry_9.wav,وطي صوتك و متنسيش إنتي ئاعدة فين و مع مين يا نوال 
AmrYoussef,Angry,AmrYoussef_Angry_29.wav,لاء مش باخدك على ئد عئلك و لا حاجة بس إحنا من خمس دئايئ كنا كويسين و زي الفل
AmrYoussef,Angry,AmrYoussef_Angry_5.wav,إنما حضرتك بشوفك ئاعد نايم في البيت مبتتحركش
AmrYoussef,Angry,AmrYoussef_Angry_3.wav,مش هشرب حاجة
AmrYoussef,Angry,AmrYoussef_Angry_35.wav,أخرس إنت خالص
AmrYoussef,Angry,AmrYoussef_Angry_34.wav,مش فاكر حاجة خالص بؤل إيه يا رنا
AmrYoussef,Angry,AmrYoussef_Angry_7.wav,حالة مجرد حالة كت بسأل عليها
AmrYoussef,Angry,AmrYoussef_Angry_32.wav,دا كان المفروض تحكيلي لوحدك من غير ما أطلب أصلن
AmrYoussef,Angry,AmrYoussef_Angry_15.wav,عايزة تكدبي عليا تاني
AmrYoussef,Angry,AmrYoussef_Angry_13.wav,بكرة الصبح ألائي العؤود عندي على المكتب يإما هي يإما إستئلتك مفهوم
AmrYoussef,Angry,AmrYoussef_Angry_8.wav,ماليش علائة بيه ولا أعرف عنه حاجة ولا أعرف مكانه و نا ؤولتلك الكلام
AmrYoussef,Angry,AmrYoussef_Angry_11.wav,وليه كدبتي على أب تاني ودفنتيه بالحيا
AmrYoussef,Angry,AmrYoussef_Angry_2.wav,يعم دي عاشر مرة تسألني عن الشاي يسيدي أنا مبحبش الشاي مش هشرب شاي
AmrYoussef,Angry,AmrYoussef_Angry_18.wav,ما تئف فطابورك يا أستاذ زي البني آدمين يا أخي
AmrYoussef,Angry,AmrYoussef_Angry_10.wav,ليه حرمتي أب من إبنه
AmrYoussef,Angry,AmrYoussef_Angry_21.wav,هو أنا المفروض أسمع الكدب دا لحد إمتي أفضل ساكت
AmrYoussef,Angry,AmrYoussef_Angry_23.wav,إنتي كتي بتكرهي أبويا
AmrYoussef,Angry,AmrYoussef_Angry_25.wav,أوووه يا دينا ما أنا ؤلتلك مش عايز أتكلم دلوئتي فيه إيه
AmrYoussef,Angry,AmrYoussef_Angry_33.wav,من حقي أفهم يا رنا و محدش غيرك هيحكيلي
AmrYoussef,Angry,AmrYoussef_Angry_6.wav,إنت عايز إيه دلوئي
AmrYoussef,Angry,AmrYoussef_Angry_31.wav,آخر الكلام حصل ما بينا حصل عندي في البيت وخلصت على كدا
AmrYoussef,Angry,AmrYoussef_Angry_17.wav,حضرك ممكن تاخد خطوتين لورا وتستنى في الطابور عادي تستنى دورك
AmrYoussef,Angry,AmrYoussef_Angry_36.wav,دا اكيد فيلم هم عاملينه علشان يثتوا الجنان عليا
AmrYoussef,Neutral,AmrYoussef_Neutral_41.wav,إسمي مروان دكتور مروان
AmrYoussef,Neutral,AmrYoussef_Neutral_9.wav,مش جايز تكون هي دي الحئيئة وعئلي رافض يصدئها
AmrYoussef,Neutral,AmrYoussef_Neutral_39.wav,أبوا يعني إيه اللي ضروري يعني عشان نتئابل
AmrYoussef,Neutral,AmrYoussef_Neutral_5.wav,مشكلة بقى إن أنا مش لائي أي معلومات عني
AmrYoussef,Neutral,AmrYoussef_Neutral_15.wav,مفيش شك إن كل واحد فينا شايف إن أمه أحسن أم في الدنيا
AmrYoussef,Neutral,AmrYoussef_Neutral_28.wav,قررت إني أعمل مونتاج للفترة دي من حياتي كلها كإني معشتهاش 
AmrYoussef,Neutral,AmrYoussef_Neutral_44.wav,طب كدا صلاح محمود غانم مش معانا
AmrYoussef,Neutral,AmrYoussef_Neutral_22.wav,حصل علشان أنا فيه بيني و بين الراجل دا مشاكل
AmrYoussef,Neutral,AmrYoussef_Neutral_26.wav,حاسس إن أنا محتاج أبئا لوحدي
AmrYoussef,Neutral,AmrYoussef_Neutral_16.wav,إحساس طبيعي بيحس بيه أي إبن
AmrYoussef,Neutral,AmrYoussef_Neutral_31.wav,كدا ئصد حضرتك إن فيه حد ئطع الحبل
AmrYoussef,Neutral,AmrYoussef_Neutral_17.wav,أنا غلطت و مش هعمل كدا تاني
AmrYoussef,Neutral,AmrYoussef_Neutral_24.wav,عندك فكرة عن الموضوع دا
AmrYoussef,Neutral,AmrYoussef_Neutral_38.wav,ائعدو التئيل جي ائعدو
AmrYoussef,Neutral,AmrYoussef_Neutral_37.wav,لائيت نفسي عايز أئعد أتكلم معاكي شوية فرجعت
AmrYoussef,Neutral,AmrYoussef_Neutral_43.wav,حضرتك عندك فكرة إزاي أءدر أوصل للدكتور عزت
AmrYoussef,Neutral,AmrYoussef_Neutral_20.wav,و عايزين يحسسوني إن أنا السبب الوحيد فيهم
AmrYoussef,Neutral,AmrYoussef_Neutral_40.wav,المذكرات دي مش بتاعتي
AmrYoussef,Neutral,AmrYoussef_Neutral_14.wav,و كانت محتاجة مستنشفى تصور فيها
AmrYoussef,Neutral,AmrYoussef_Neutral_6.wav,بس اللي أنا حاسة كدا إن المشكلة اللي بيني وبينه كبيرة مش صغيرة 
AmrYoussef,Neutral,AmrYoussef_Neutral_8.wav,خلاص لما لما أشوفك هبئى أحكيلك على كل حاجة
AmrYoussef,Neutral,AmrYoussef_Neutral_3.wav,لا و الله ريحة الكشري على ئهوة بعرة هتشبعني إسبوع
AmrYoussef,Neutral,AmrYoussef_Neutral_2.wav,لا دا موضوع يطول شرحة هبئا احكيهولك بعدين تصبحي على خير
AmrYoussef,Neutral,AmrYoussef_Neutral_10.wav,أنا عايز أءعد لوحدي
AmrYoussef,Neutral,AmrYoussef_Neutral_18.wav,عشان محاولتش أنتحر
AmrYoussef,Neutral,AmrYoussef_Neutral_35.wav,و دي هتاخدها من المحكمة بعد ما الئضية تخلص
AmrYoussef,Neutral,AmrYoussef_Neutral_34.wav,لدرجة إن هو كتب وصية عشان يتطمن على حئي
AmrYoussef,Neutral,AmrYoussef_Neutral_21.wav,حضرتك عارف كويس إن أنا فائد الذاكرة
AmrYoussef,Neutral,AmrYoussef_Neutral_45.wav,أبدن هو كان عايزني عشان نبتدي نجهز بئا
AmrYoussef,Neutral,AmrYoussef_Neutral_19.wav,كل واحد بيعلئ أخطاؤه عليا وبيلموني عليها
AmrYoussef,Neutral,AmrYoussef_Neutral_11.wav,بس كل خطوة فيه وصلتني لهنا
AmrYoussef,Neutral,AmrYoussef_Neutral_13.wav,الوئفة مش طبيعية الضحكة مش طبيعية
AmrYoussef,Neutral,AmrYoussef_Neutral_33.wav,هو كان خايف عليا
AmrYoussef,Neutral,AmrYoussef_Neutral_27.wav,أيوة دينا إيه علائتها بمحمود يعني
AmrYoussef,Neutral,AmrYoussef_Neutral_7.wav,أنا في تاكسي دلوئتي و طالع عالعيادة
AmrYoussef,Neutral,AmrYoussef_Neutral_23.wav,الحكاية و ما فيها إن المدام كانت ئالتي إن إنت عمرك ما جيت البيت هنا
AmrYoussef,Neutral,AmrYoussef_Neutral_12.wav,لكن الحمد لله مرجعتش مروان بتاع زمان
AmrYoussef,Neutral,AmrYoussef_Neutral_1.wav,أنا هطلع بئا أءرا مذكراتي
AmrYoussef,Neutral,AmrYoussef_Neutral_30.wav,نرجع لبعض
AmrYoussef,Neutral,AmrYoussef_Neutral_29.wav,أوصله إزاي بئا عايز عنواني رقم تليفونه
AmrYoussef,Neutral,AmrYoussef_Neutral_42.wav,آه أنا الحمد لله كويس كله تمام
